,id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,match_id,possession_team_id,team_id,player_id,under_pressure,related_events,off_camera
76,b42599f1-a492-4b24-bd52-ff4de791c580,1343,1,00:34:25.744,34,25,Error,86,Southampton,From Free Kick,Stoke City,Jack Butland,Goalkeeper,"[5.1, 32.9]",0.0,3754247,25,30,3537,True,['ba8d0a87-a2bd-4c2f-bf90-46bf548d4b53'],
77,949366af-4fc5-4471-9ae4-f0f175d73a3b,518,1,00:14:17.553,14,17,Error,29,Leicester City,Regular Play,Watford,Craig Cathcart,Right Center Back,"[12.3, 24.8]",0.0,3754156,22,23,3263,,,
78,214f769c-7a26-4563-a2d8-98a95ebe28cb,416,1,00:06:41.833,6,41,Error,15,Manchester United,Regular Play,Liverpool,Simon Mignolet,Goalkeeper,"[11.5, 30.6]",0.0,3754003,39,24,3539,,,
79,5c871194-36f4-4ed5-b4f0-1d7ba181be44,400,1,00:10:32.395,10,32,Error,28,AFC Bournemouth,From Throw In,West Ham United,Aaron Cresswell,Left Back,"[5.4, 16.6]",0.0,3754131,28,40,3062,,,
80,e9c24b5c-e181-4e5a-ac0a-65f218b3d7a7,975,1,00:27:28.863,27,28,Error,64,AFC Bournemouth,Regular Play,West Ham United,Aaron Cresswell,Left Back,"[19.9, 37.4]",0.0,3754131,28,40,3062,,,
81,d68eb4dc-b46c-4bbb-b7f4-bfaa53ad5ef5,1411,1,00:40:41.233,40,41,Error,90,West Ham United,Regular Play,AFC Bournemouth,Artur Boruc,Goalkeeper,"[4.2, 27.1]",0.0,3754131,40,28,20074,,,
82,5e023fff-23b8-484f-be6a-b6909ddc2824,3185,2,00:49:55.309,94,55,Error,187,West Ham United,From Throw In,West Ham United,Darren Randolph,Goalkeeper,"[6.3, 45.2]",0.0,3754131,40,40,20066,,,
83,39abe2d7-5fb1-4cf3-a4ea-77c4e781510e,3381,2,00:43:18.012,88,18,Error,186,Everton,From Throw In,Watford,Allan Romeo Nyom,Right Back,"[15.6, 58.3]",0.0,3754300,29,23,3991,,,
84,3a490e55-a322-440d-afac-530d4ce88bb7,2752,2,00:41:50.651,86,50,Error,192,Crystal Palace,Regular Play,Aston Villa,Jordan Amavi,Left Back,"[32.5, 13.2]",0.0,3754190,31,59,4347,,,
85,4128e664-b0c5-486a-b28c-6f0eb5d1a636,1987,2,00:15:04.254,60,4,Error,133,Leicester City,From Counter,Tottenham Hotspur,Kyle Walker,Right Back,"[12.1, 60.2]",0.0,3754065,22,38,3205,,,
86,659cd367-a53e-4c8f-bb7f-2dec1543cd5b,709,1,00:16:11.800,16,11,Error,33,West Ham United,From Free Kick,Chelsea,John Michael Nchekwube Obinna,Left Defensive Midfield,"[26.9, 45.3]",0.0,3753973,40,33,5475,,,
87,f4550f49-3aa8-4f21-9526-8c31cdba878a,1585,1,00:40:44.357,40,44,Error,91,Stoke City,From Free Kick,Watford,Mario Suárez Mata,Left Defensive Midfield,"[20.6, 22.9]",0.0,3753977,30,23,23488,,,
88,48ac9a4d-aed0-4dff-93b8-f320483c5c84,2968,2,00:31:33.124,76,33,Error,177,Stoke City,From Counter,Watford,Craig Cathcart,Right Center Back,"[12.1, 51.2]",0.0,3753977,30,23,3263,,,
89,3e35418f-000c-4d69-bec7-472945637a6b,1434,1,00:36:00.547,36,0,Error,62,Sunderland,Regular Play,Arsenal,Héctor Bellerín Moruno,Right Back,"[13.4, 43.5]",0.0,3753990,41,1,3511,,,
90,4b0f8383-76f7-42a3-b222-5b92f809f5bd,3444,2,00:45:39.715,90,39,Error,173,Sunderland,From Corner,Arsenal,Daniel Nii Tackie Mensah Welbeck,Center Forward,"[5.4, 33.2]",0.0,3753990,41,1,3569,,,
91,1d2beb29-155b-4068-9843-68d8cd42cb77,1592,1,00:42:35.103,42,35,Error,85,Southampton,Regular Play,Crystal Palace,Julián Speroni,Goalkeeper,"[9.0, 37.8]",0.0,3753994,25,31,3487,,,
92,ed8d5f2e-2a72-4261-9013-2aaa566240c4,473,1,00:10:15.781,10,15,Error,31,Norwich City,From Kick Off,AFC Bournemouth,Charlie Daniels,Left Back,"[21.9, 25.9]",0.0,3754004,56,28,3345,,,
