,id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,under_pressure,related_events,match_id,dribble_outcome,possession_team_id,team_id,player_id,dribble_overrun,dribble_nutmeg,out,dribble_no_touch,off_camera
10585,d803c41a-4033-40b9-a535-a02a3b89fc71,393,1,00:08:45.645,8,45,Dribble,25,Southampton,From Throw In,Southampton,Sadio Mané,Center Attacking Midfield,"[112.0, 5.0]",0.0,True,"['381ec38b-c88a-41d4-aec8-7ef3f3fe5a65', 'cf9a49d4-e14a-4c61-aaf1-feac28d76d1c']",3754201,Incomplete,25,25,3629,,,,,
10586,532a819c-a870-4665-8fa2-b5ac163318e2,658,1,00:14:57.661,14,57,Dribble,42,Southampton,Regular Play,Southampton,Dušan Tadić,Left Wing,"[109.2, 4.8]",0.0,True,['f15bab3b-0b44-4836-853f-52933f421964'],3754201,Complete,25,25,3831,,,,,
10587,307ffeea-2504-459b-9ed1-93c0608e6b91,754,1,00:16:25.513,16,25,Dribble,44,Southampton,Regular Play,Southampton,Oriol Romeu Vidal,Left Defensive Midfield,"[32.3, 49.2]",0.0,True,"['05bcaf81-75b2-4e19-9a05-57e821487f69', '4d4ec9aa-8689-4c83-b808-32369dec1a30']",3754201,Complete,25,25,3272,,,,,
10588,6b4943d4-ae24-421e-990d-78d15a3226c7,959,1,00:21:32.529,21,32,Dribble,54,Southampton,Regular Play,Southampton,Cédric Ricardo Alves Soares,Right Back,"[81.8, 77.7]",0.0,True,['7984cfbe-918d-4e4f-9af7-7cd08a4503ec'],3754201,Incomplete,25,25,3329,,,,,
10589,4337dca9-b16f-46f6-836c-e619cc56c5bb,990,1,00:22:09.950,22,9,Dribble,56,Southampton,Regular Play,Southampton,Oriol Romeu Vidal,Left Defensive Midfield,"[62.9, 43.3]",0.0,True,['6f6a087b-31a6-453e-b89b-57e5c0eb5e92'],3754201,Complete,25,25,3272,,,,,
10590,3935292a-b02d-4577-812d-ef884307e7ae,1025,1,00:23:00.194,23,0,Dribble,57,Arsenal,From Goal Kick,Arsenal,Alexis Alejandro Sánchez Sánchez,Left Wing,"[76.5, 73.5]",0.0,True,"['919be816-6093-47b0-8f4e-89039b2515ac', 'e5527114-045a-4ec0-990e-3730557c9e48']",3754201,Complete,1,1,3385,,,,,
10591,c11a804f-b3b6-481c-9747-8949c8fc6319,1075,1,00:24:30.960,24,30,Dribble,59,Arsenal,From Free Kick,Arsenal,Héctor Bellerín Moruno,Right Back,"[63.7, 73.2]",0.0,True,['eaff1d9e-c902-49ef-ba3c-81809f2236a1'],3754201,Complete,1,1,3511,,,,,
10592,2db82f78-665d-4fe1-b59f-97bde019243a,1110,1,00:25:40.179,25,40,Dribble,61,Arsenal,Regular Play,Arsenal,Alexis Alejandro Sánchez Sánchez,Left Wing,"[109.4, 77.2]",0.0,True,['473b5449-138b-4f0d-a8b5-f80e2b0d2e97'],3754201,Incomplete,1,1,3385,,,,,
10593,a94fea97-3671-4cd4-9806-631b388a587e,1276,1,00:29:23.224,29,23,Dribble,70,Southampton,Regular Play,Southampton,Cédric Ricardo Alves Soares,Right Back,"[29.1, 72.5]",0.0,True,['edbc2223-ccdf-4b23-b1dc-20fd9d3b33e8'],3754201,Complete,25,25,3329,,,,,
10594,27774da3-8364-43f6-839e-e4c1e0af0b95,1475,1,00:34:25.981,34,25,Dribble,93,Arsenal,Regular Play,Arsenal,Gabriel Armando de Abreu,Right Center Back,"[43.7, 39.7]",0.0,True,['571e06ba-1923-4587-abac-1f3efdfbb2a4'],3754201,Complete,1,1,6746,,,,,
10595,f7394793-7556-4469-ab87-4beb98ad6876,1516,1,00:34:54.324,34,54,Dribble,93,Arsenal,Regular Play,Arsenal,Gabriel Armando de Abreu,Right Center Back,"[66.6, 65.9]",0.0,True,['888aaa80-9f39-4f65-9e36-c4451991bae5'],3754201,Complete,1,1,6746,,,,,
10596,dc8abc71-9626-4ae3-8b2d-03e99ff98b83,1596,1,00:37:30.574,37,30,Dribble,98,Arsenal,From Free Kick,Arsenal,Alexis Alejandro Sánchez Sánchez,Left Wing,"[76.0, 4.7]",0.0,True,['ffd35975-e94e-4dcb-9b3a-d38113acee1b'],3754201,Complete,1,1,3385,,,,,
10597,c829cd88-88f4-47a0-86d8-4c22aae22efb,1599,1,00:37:32.466,37,32,Dribble,98,Arsenal,From Free Kick,Arsenal,Alexis Alejandro Sánchez Sánchez,Left Wing,"[86.8, 10.5]",0.0,True,['1ee9ccb7-518d-4004-b39e-14cb3fe64427'],3754201,Incomplete,1,1,3385,,,,,
10598,f38ac340-e663-46b8-8bfb-ddda40ce6028,1711,1,00:41:14.460,41,14,Dribble,107,Southampton,Regular Play,Southampton,Sadio Mané,Center Attacking Midfield,"[60.0, 5.8]",0.0,True,"['8175d958-d542-4f36-885e-6578ce5ab626', 'e9e709c7-0a1c-49a2-a512-b4cd8d4f03c8']",3754201,Incomplete,25,25,3629,,,,,
10599,c7c8c18a-faf1-4d33-a683-52e5b060d0ac,1847,1,00:45:12.543,45,12,Dribble,113,Southampton,From Keeper,Southampton,Sadio Mané,Center Attacking Midfield,"[113.9, 58.3]",0.0,True,['8ec7cc1c-5a26-4057-9903-3ac01023ef69'],3754201,Incomplete,25,25,3629,,,,,
10600,08467de9-0dcf-403e-8a8b-830d41636b9b,1868,1,00:45:31.563,45,31,Dribble,113,Southampton,From Keeper,Southampton,Ryan Bertrand,Left Back,"[97.2, 19.2]",0.0,True,['14fe320e-3d3f-4da4-8556-f61de29c0921'],3754201,Incomplete,25,25,20045,,,,,
10601,d9c52bae-ee2a-45aa-b323-5f297ac027f5,2040,2,00:02:50.926,47,50,Dribble,124,Southampton,Regular Play,Southampton,Sadio Mané,Center Attacking Midfield,"[49.3, 2.7]",0.0,True,"['94fbec14-220a-410a-b7e8-338864d3dca9', 'ce2962f0-cec9-469e-b230-bb81bf95c641']",3754201,Incomplete,25,25,3629,,,,,
10602,72092255-fd1f-4d40-8856-0883313c268e,2090,2,00:04:17.048,49,17,Dribble,128,Arsenal,Regular Play,Arsenal,Joel Nathaniel Campbell Samuels,Right Wing,"[106.0, 53.9]",0.0,True,['7d09e0f1-310d-4eeb-a724-d0c41a055f6b'],3754201,Complete,1,1,5581,,,,,
10603,2ba012b2-e074-4e64-9724-dd776abffee2,2106,2,00:04:33.650,49,33,Dribble,129,Arsenal,From Throw In,Arsenal,Aaron Ramsey,Left Defensive Midfield,"[108.7, 69.4]",0.0,True,['40535cd7-cd79-405b-9d3f-fb2d07c68c9b'],3754201,Incomplete,1,1,3517,True,,,,
10604,b36134b7-b968-4585-824b-d662955c38ee,2131,2,00:05:12.315,50,12,Dribble,131,Arsenal,Regular Play,Arsenal,Aaron Ramsey,Left Defensive Midfield,"[42.6, 60.0]",0.0,True,['39f2ac13-ab9c-402d-87c1-f901b7e20e53'],3754201,Incomplete,1,1,3517,,,,,
10605,44397bb5-98f6-48b0-a88f-543d957f9f76,2174,2,00:06:03.525,51,3,Dribble,133,Southampton,Regular Play,Southampton,Victor Wanyama,Right Defensive Midfield,"[54.8, 35.2]",0.0,True,['8b0c116f-9274-45f4-870c-f3cb24dc9fcf'],3754201,Complete,25,25,3098,,,,,
10606,7317ba06-00a5-45e5-9b10-8dbdbf01cbc4,2213,2,00:06:45.156,51,45,Dribble,134,Arsenal,From Throw In,Arsenal,Joel Nathaniel Campbell Samuels,Right Wing,"[105.7, 57.4]",0.0,True,['301c4800-66c4-4655-a785-044189e0a289'],3754201,Complete,1,1,5581,,,,,
10607,3ab5e454-8e5e-4f29-8172-dd6d1242ad39,2369,2,00:12:08.049,57,8,Dribble,153,Southampton,Regular Play,Southampton,Ryan Bertrand,Left Back,"[89.3, 1.9]",0.0,True,['869b773f-9fef-4896-ab13-b829df7e54e9'],3754201,Complete,25,25,20045,,,,,
10608,f86ae6b2-7477-4d38-a748-a099f8508738,2440,2,00:14:46.742,59,46,Dribble,160,Southampton,From Throw In,Southampton,Dušan Tadić,Left Wing,"[90.8, 3.2]",0.0,True,['9d440aa7-6628-4015-b177-0e992a6bfad8'],3754201,Complete,25,25,3831,,,,,
10609,3ca9dbab-fa3d-4486-a00b-02272168d6f7,2478,2,00:15:50.156,60,50,Dribble,162,Arsenal,From Free Kick,Arsenal,Joel Nathaniel Campbell Samuels,Right Wing,"[82.3, 76.9]",0.0,True,['bf42f7ad-8f17-4bc6-a6c1-83e106b58ebf'],3754201,Complete,1,1,5581,,,,,
10610,ffaee86b-990a-4ed5-8dd8-623e05cbe28f,2499,2,00:16:44.532,61,44,Dribble,164,Southampton,Regular Play,Southampton,Oriol Romeu Vidal,Left Defensive Midfield,"[29.4, 41.1]",0.0,True,['c6f8b16a-142f-4f6b-915b-1aff7102902e'],3754201,Complete,25,25,3272,,,,,
10611,9fd0329d-dd90-4007-8897-d51cab7b2852,2672,2,00:20:55.500,65,55,Dribble,176,Arsenal,From Free Kick,Arsenal,Alexis Alejandro Sánchez Sánchez,Left Wing,"[96.7, 25.3]",0.0,True,['1de2c6c0-42e9-4e75-a484-d20a5a382931'],3754201,Incomplete,1,1,3385,True,,,,
10612,f451336c-f929-48af-949e-fed803c39bd7,2690,2,00:21:04.908,66,4,Dribble,178,Arsenal,Regular Play,Arsenal,Mesut Özil,Center Attacking Midfield,"[71.6, 6.7]",0.0,True,['ff9218e6-9ba6-4807-a45f-442067b5601a'],3754201,Complete,1,1,3496,,,,,
10613,98e1c636-e1ce-4e45-b264-5b6e5339d653,2698,2,00:21:09.725,66,9,Dribble,178,Arsenal,Regular Play,Arsenal,Alexis Alejandro Sánchez Sánchez,Left Wing,"[96.0, 25.5]",0.0,True,"['b0838e76-49a6-4347-b3d7-b038ba766ab5', 'c141b1e9-a0c5-4d26-aceb-9153eb37007c']",3754201,Complete,1,1,3385,,,,,
10614,397da24c-27ad-41e2-b9f0-2212510422a5,2769,2,00:24:06.714,69,6,Dribble,181,Southampton,From Goal Kick,Southampton,Oriol Romeu Vidal,Left Defensive Midfield,"[63.3, 34.6]",0.0,True,['7bda90b4-ed57-441c-9133-ed28342e367c'],3754201,Complete,25,25,3272,,,,,
10615,358e81c9-519f-4220-ba52-5e257c2ad244,2833,2,00:26:00.742,71,0,Dribble,185,Southampton,From Goal Kick,Southampton,Cédric Ricardo Alves Soares,Right Back,"[65.1, 71.3]",0.0,True,['527a7f54-c5b5-4c92-8d18-3b540a95faa9'],3754201,Complete,25,25,3329,,,,,
10616,17e9f1f3-eddf-4a2d-a4fb-bae723ad005e,3047,2,00:37:24.574,82,24,Dribble,209,Southampton,From Throw In,Southampton,Oriol Romeu Vidal,Left Defensive Midfield,"[77.8, 63.9]",0.0,True,"['7f8b47c0-ea8f-4705-88a8-86f40487037f', '8edd392a-21d2-492f-8a47-764dd91c5263']",3754201,Complete,25,25,3272,,,,,
10617,1c756b51-4d70-4105-bb71-3cf53d538260,3213,2,00:42:52.884,87,52,Dribble,218,Southampton,From Free Kick,Southampton,Shane Long,Center Attacking Midfield,"[104.8, 72.4]",0.0,True,"['1bec90b9-d5d8-40af-b809-b5819cebcd76', 'c25a5278-0a4c-4168-a554-aab3c0529655']",3754201,Incomplete,25,25,3842,,,,,
10618,bdc9a15d-93c6-43d8-9e32-a227d6c0aee6,3391,2,00:47:54.352,92,54,Dribble,227,Arsenal,Regular Play,Arsenal,Theo Walcott,Right Wing,"[49.1, 65.7]",0.0,True,['1388730b-f498-49a7-9c67-190a88d685c6'],3754201,Incomplete,1,1,3668,,,,,
10619,c56f043c-1bb4-4b06-b80e-5211fd2d745c,3395,2,00:47:56.463,92,56,Dribble,227,Arsenal,Regular Play,Southampton,Shane Long,Center Attacking Midfield,"[78.1, 9.6]",0.0,True,"['78eb46b3-0ae6-4b7b-b818-c92857fbea4a', 'c37ba687-5a4e-4c2f-b87b-b03d06892dd9']",3754201,Incomplete,1,25,3842,,,,,
10620,0f791b0b-b34b-4530-8a91-b7d7c1482cbf,3435,2,00:48:49.883,93,49,Dribble,229,Arsenal,Regular Play,Arsenal,Mesut Özil,Center Attacking Midfield,"[70.5, 8.0]",0.0,True,['fe34940f-0711-4b56-9a37-74db3cd0cb6f'],3754201,Complete,1,1,3496,,True,,,
10621,cc8d7849-9c3c-49f4-a3de-eb55c557c63b,142,1,00:05:03.050,5,3,Dribble,11,Arsenal,From Throw In,Stoke City,Marko Arnautović,Left Wing,"[7.2, 2.2]",0.0,True,"['94a6b806-23b7-4522-a601-e40d2bb48c74', 'fd584916-c2ee-4624-8bba-ef6a49442dcf']",3754202,Complete,1,30,3325,,,,,
10622,cf0572fa-9b69-4b72-b743-4750e99a2403,363,1,00:09:28.022,9,28,Dribble,20,Stoke City,Regular Play,Stoke City,Ibrahim Afellay,Left Center Midfield,"[36.2, 35.0]",0.0,True,"['9d724a9d-c71e-44a7-9aae-b7428e966dc0', 'ba934f0c-3c8d-4bf5-827f-a296082be277']",3754202,Complete,30,30,4891,,,,,
10623,3561c2bd-a0ba-4524-a7f0-f16995f11122,527,1,00:14:06.806,14,6,Dribble,29,Arsenal,Regular Play,Arsenal,Héctor Bellerín Moruno,Right Back,"[53.1, 77.0]",0.0,True,['30783fd3-b003-4b24-bad6-cc6354ad95ba'],3754202,Incomplete,1,1,3511,,,,,
